АФК Система;0;40,8;4,497;23,847;27,249;23,31;25,49;44,8;11,4;17,65;23,17;12,09;7,999;15,236;28,711;23,364
Аэрофлот;57,5;92,9;27,55;52,5;79,99;50,22;44,99;83,7;32,23;56,1;152,85;138,45;101,18;103,5;71,44;59,16
Русагро;0;0;0;0;0;0;0;0;280,0;995,0;804,0;568,5;791,5;644,8;837,0;1173,0
Акрон;770,0;1234,9;300,0;860,0;1136,01;1331,5;1396,5;1124,0;1799,0;3779,0;3575,0;3870,0;4710,0;4790,0;5926,0;12358,0
Алроса;0;0;0;0;0;31,0;30,0;35,67;63,0;55,94;97,43;75,06;98,62;84,32;99,0;122,34
Русская Аквакультура;0;0;0;0;0;0;0;0;0;44,0;89,9;157,0;139,0;255,5;261,5;600,5
Башнефть-п;0;0;0;0;0;1071,0;1332,2;1430,1;922,0;1715,0;1228,5;1352,0;1782,5;1722,5;1162,0;995,5
Башнефть-ао;0;0;0;0;0;1341,8;1760,1;2000,0;1250,0;1988,0;3588,5;2274,0;1870,0;1930,0;1660,5;1359,0
Белуга Групп;0;0;0;0;0;0;0;0;0;0;0;645,0;408,0;740,0;1395,0;3350,0
Башинформсвязь-ап;0;0;0;0;4,887;4,899;6,248;5,403;3,73;4,19;4,22;3,8;4,01;6,12;9,46;11,41
Банк Санкт-Петербург-ап;0;0;0;91,2;177,7;89,95;59,51;0;0;0;0;0;0;0;0;18,85
Банк Санкт-Петербург (БСП);0;0;33,16;83,97;170,0;72,5;49,81;42,0;24,45;43,55;66,8;54,35;44,28;56,3;51,79;81,5
МКБ;0;0;0;0;0;0;0;0;0;3,8;4,3;4,742;5,17;5,879;6,152;6,852
ЧТПЗ;0;0;0;62,1;80,08;56,92;41,0;28,02;40,5;40,4;100,0;132,0;106,8;206,5;253,0;0
Северсталь;307,5;559,49;84,65;253,1;519,85;363,8;369,1;319,5;501,9;609,5;942,2;887,4;942,9;937,6;1323,2;1604,2
Центральный телеграф-п;15,406;15,2;2,7;14,0;25,597;0;0;0;0;0;0;0;0;0;0;0
Центральный телеграф-ао;19,352;21,5;3,833;18,3;32,869;0;0;0;0;0;0;0;0;0;0;0
Детский мир;0;0;0;0;0;0;0;0;0;0;0;95,95;90,44;100,0;136,2;124,74
