АФК Система [0.028, 0.048, 0.25, 0, 0.055, 0.26, 0.28, 0.96, 2.06, 0.47, 1.05, 1.4900000000000002, 0.11, 0.11, 0.13, 0.31]
Аэрофлот [0.82, 1.29, 1.37, 0.1818, 0.3497, 1.09, 1.81, 1.16, 2.5, 0, 0, 17.48, 12.81, 2.69, 0, 0]
Русагро [0, 0, 0, 0, 0, 0, 0, 0, 0, 39.13, 54.5, 46.58, 24.84, 37.82, 38.510000000000005, 144.97]
Акрон [0, 38.0, 120.0, 0, 25.0, 169.0, 92.0, 64.0, 152.0, 139.0, 335.0, 330.0, 337.0, 366.0, 432.0, 780.0]
Алроса [0, 0, 0, 0, 0, 0, 1.01, 1.11, 1.47, 1.47, 2.09, 8.93, 11.17, 7.95, 2.63, 18.33]
Русская Аквакультура [0, 0, 0, 0, 3.77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 17.0]
Башнефть-п [0, 0, 0, 0, 0, 0, 99.0, 223.0, 211.0, 113.0, 164.0, 148.41, 158.95, 158.95, 107.81, 0.1]
Башнефть-ао [0, 0, 0, 0, 0, 0, 99.0, 223.0, 211.0, 113.0, 164.0, 148.31, 158.95, 158.95, 107.81, 0]
Белуга Групп [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42.0, 162.76]
Башинформсвязь-ап [0, 0, 0, 0, 0, 0.262, 0.284, 0.4, 0.345, 0.323, 0.55, 0.339, 0.365, 0.629, 0.782, 0.264]
Банк Санкт-Петербург-ап [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.22]
Банк Санкт-Петербург (БСП) [0, 0, 0, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 2.02, 1.05, 1.05, 1.62, 3.71, 3.33, 4.56]
МКБ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0, 0]
ЧТПЗ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.05, 11.56, 15.38, 18.0, 6.55]
